"new_simple_name","taxon_id","kingdom","class","new_redlistTW"
"Dryopteris melanocarpa","t0026675","Plantae","Polypodiopsida","NLC"
"Dryopteris namegatae","t0026676","Plantae","Polypodiopsida","NVU"
"Dryopteris peranema","t0026679","Plantae","Polypodiopsida","NLC"
"Dryopteris polita","t0026680","Plantae","Polypodiopsida","NLC"
"Dryopteris pseudolunanensis","t0026682","Plantae","Polypodiopsida","NLC"
"Dryopteris pseudosieboldii","t0026683","Plantae","Polypodiopsida","NNT"
"Dryopteris redactopinnata","t0026684","Plantae","Polypodiopsida","NLC"
"Dryopteris reflexosquamata","t0026685","Plantae","Polypodiopsida","NLC"
"Dryopteris ryo-itoana","t0026686","Plantae","Polypodiopsida","NVU"
"Dryopteris scottii","t0026687","Plantae","Polypodiopsida","NLC"
"Dryopteris serratodentata","t0026688","Plantae","Polypodiopsida","NLC"
"Dryopteris sordidipes","t0026689","Plantae","Polypodiopsida","NLC"
"Dryopteris sparsa","t0026690","Plantae","Polypodiopsida","NLC"
"Dryopteris squamiseta","t0026691","Plantae","Polypodiopsida","NLC"
"Dryopteris stenolepis","t0026692","Plantae","Polypodiopsida","NLC"
"Dryopteris subatrata","t0026693","Plantae","Polypodiopsida","NLC"
"Dryopteris subexaltata","t0026694","Plantae","Polypodiopsida","NLC"
"Dryopteris sublacera","t0026695","Plantae","Polypodiopsida","DD"
"Dryopteris subtriangularis","t0026696","Plantae","Polypodiopsida","DD"
"Dryopteris tenuipes","t0026698","Plantae","Polypodiopsida","DD"
"Dryopteris toyamae","t0026699","Plantae","Polypodiopsida","NEN"
"Dryopteris transmorrisonensis","t0026700","Plantae","Polypodiopsida","NLC"
"Dryopteris varia","t0026701","Plantae","Polypodiopsida","NLC"
"Dryopteris yoroii","t0026705","Plantae","Polypodiopsida","NEN"
"Polystichum acanthophyllum","t0026708","Plantae","Polypodiopsida","NLC"
"Polystichum acutidens","t0026709","Plantae","Polypodiopsida","NLC"
"Polystichum atkinsonii","t0026710","Plantae","Polypodiopsida","NLC"
"Polystichum attenuatum","t0026711","Plantae","Polypodiopsida","NCR"
"Polystichum capillipes","t0026713","Plantae","Polypodiopsida","NCR"
"Polystichum chunii","t0026714","Plantae","Polypodiopsida","NCR"
"Polystichum pseudodeltodon","t0026715","Plantae","Polypodiopsida","NLC"
"Polystichum formosanum","t0026716","Plantae","Polypodiopsida","NLC"
"Polystichum fraxinellum","t0026717","Plantae","Polypodiopsida","NVU"
"Polystichum glaciale","t0026718","Plantae","Polypodiopsida","NVU"
"Polystichum grandifrons","t0026719","Plantae","Polypodiopsida","NCR"
"Polystichum hancockii","t0026720","Plantae","Polypodiopsida","NLC"
"Polystichum hecatopterum","t0026721","Plantae","Polypodiopsida","NLC"
"Polystichum herbaceum","t0026722","Plantae","Polypodiopsida","NCR"
"Polystichum lachenense","t0026724","Plantae","Polypodiopsida","NLC"
"Polystichum lepidocaulon","t0026725","Plantae","Polypodiopsida","NLC"
"Polystichum manmeiense","t0026726","Plantae","Polypodiopsida","NLC"
"Polystichum mucronifolium","t0026728","Plantae","Polypodiopsida","NLC"
"Polystichum nepalense","t0026730","Plantae","Polypodiopsida","NLC"
"Polystichum parvipinnulum","t0026732","Plantae","Polypodiopsida","NLC"
"Polystichum piceopaleaceum","t0026733","Plantae","Polypodiopsida","NLC"
"Polystichum prescottianum","t0026734","Plantae","Polypodiopsida","NVU"
"Polystichum prionolepis","t0026735","Plantae","Polypodiopsida","NLC"
"Polystichum sinense","t0026738","Plantae","Polypodiopsida","NLC"
"Polystichum stenophyllum","t0026739","Plantae","Polypodiopsida","NLC"
"Polystichum taizhongense","t0026740","Plantae","Polypodiopsida","NVU"
"Polystichum tenuius","t0026741","Plantae","Polypodiopsida","NCR"
"Polystichum thomsonii","t0026742","Plantae","Polypodiopsida","NNT"
"Polystichum xiphophyllum","t0026744","Plantae","Polypodiopsida","NEN"
"Lomariopsis boninensis","t0026748","Plantae","Polypodiopsida","NNT"
"Nephrolepis biserrata","t0026749","Plantae","Polypodiopsida","NLC"
"Nephrolepis brownii","t0026750","Plantae","Polypodiopsida","NLC"
"Nephrolepis cordifolia","t0026751","Plantae","Polypodiopsida","NLC"
"Arthropteris palisotii","t0026755","Plantae","Polypodiopsida","NLC"
"Pteridrys cnemidaria","t0026756","Plantae","Polypodiopsida","NVU"
"Tectaria coadunata","t0026757","Plantae","Polypodiopsida","NLC"
"Tectaria decurrens","t0026758","Plantae","Polypodiopsida","NLC"
"Tectaria devexa","t0026759","Plantae","Polypodiopsida","NLC"
"Tectaria dissecta","t0026760","Plantae","Polypodiopsida","NLC"
"Tectaria dubia","t0026761","Plantae","Polypodiopsida","NNT"
"Tectaria fauriei","t0026762","Plantae","Polypodiopsida","NLC"
"Tectaria fuscipes","t0026763","Plantae","Polypodiopsida","NLC"
"Tectaria griffithii","t0026764","Plantae","Polypodiopsida","NLC"
"Tectaria harlandii","t0026765","Plantae","Polypodiopsida","NLC"
"Tectaria impressa","t0026766","Plantae","Polypodiopsida","NLC"
"Tectaria phaeocaulis","t0026769","Plantae","Polypodiopsida","NLC"
"Tectaria polymorpha","t0026770","Plantae","Polypodiopsida","NLC"
"Tectaria simonsii","t0026771","Plantae","Polypodiopsida","NLC"
"Tectaria subfuscipes","t0026772","Plantae","Polypodiopsida","NLC"
"Tectaria subtriphylla","t0026773","Plantae","Polypodiopsida","NLC"
"Tectaria sulitii","t0026774","Plantae","Polypodiopsida","NVU"
"Oleandra wallichii","t0026776","Plantae","Polypodiopsida","NLC"
"Davallia pectinata","t0026780","Plantae","Polypodiopsida","NEN"
"Davallia repens","t0026781","Plantae","Polypodiopsida","NNT"
"Davallia solida","t0026782","Plantae","Polypodiopsida","NLC"
"Davallia trichomanoides","t0026783","Plantae","Polypodiopsida","NLC"
"Loxogramme biformis","t0026784","Plantae","Polypodiopsida","NEN"
"Loxogramme chinensis","t0026785","Plantae","Polypodiopsida","DD"
"Loxogramme formosana","t0026786","Plantae","Polypodiopsida","NLC"
"Loxogramme grammitoides","t0026787","Plantae","Polypodiopsida","NNT"
"Loxogramme salicifolia","t0026789","Plantae","Polypodiopsida","NLC"
"Drynaria coronans","t0026791","Plantae","Polypodiopsida","NLC"
"Drynaria meyeniana","t0026792","Plantae","Polypodiopsida","NNT"
"Drynaria roosii","t0026793","Plantae","Polypodiopsida","NLC"
"Selliguea echinospora","t0026794","Plantae","Polypodiopsida","NLC"
"Selliguea engleri","t0026795","Plantae","Polypodiopsida","NLC"
"Selliguea falcatopinnata","t0026796","Plantae","Polypodiopsida","NVU"
"Selliguea hastata","t0026797","Plantae","Polypodiopsida","NLC"
