"new_simple_name","taxon_id","kingdom","class","new_iucn","new_protected","new_redlistTW"
"Euphorbia pulcherrima","t0053645","Plantae","Magnoliopsida","LC",NA,NA
"Eurya gnaphalocarpa","t0053656","Plantae","Magnoliopsida","LC",NA,"NLC"
"Eurya rengechiensis","t0053661","Plantae","Magnoliopsida","EN",NA,"NEN"
"Staphylea japonica","t0053665","Plantae","Magnoliopsida","LC",NA,"NLC"
"Excoecaria agallocha","t0053671","Plantae","Magnoliopsida","LC",NA,"NVU"
"Fagraea ceilanica","t0053676","Plantae","Magnoliopsida","LC",NA,"NVU"
"Fagus hayatae","t0053677","Plantae","Magnoliopsida","VU","1","NLC"
"Festuca ovina","t0053685","Plantae","Magnoliopsida","EN",NA,"NLC"
"Ficus carica","t0053689","Plantae","Magnoliopsida","LC",NA,NA
"Ficus lyrata","t0053691","Plantae","Magnoliopsida","LC",NA,NA
"Ficus religiosa","t0053692","Plantae","Magnoliopsida","LC",NA,NA
"Fimbristylis acuminata","t0053695","Plantae","Magnoliopsida","LC",NA,"RE"
"Fimbristylis bisumbellata","t0053697","Plantae","Magnoliopsida","LC",NA,"NLC"
"Fimbristylis complanata","t0053698","Plantae","Magnoliopsida","LC",NA,"NLC"
"Fimbristylis cymosa","t0053699","Plantae","Magnoliopsida","LC",NA,"NLC"
"Fimbristylis dichotoma","t0053700","Plantae","Magnoliopsida","LC",NA,"NLC"
"Fimbristylis littoralis","t0053702","Plantae","Magnoliopsida","LC",NA,"NLC"
"Fimbristylis quinquangularis","t0053706","Plantae","Magnoliopsida","LC",NA,NA
"Fimbristylis alboviridis","t0053711","Plantae","Magnoliopsida","LC",NA,"NLC"
"Fimbristylis tetragona","t0053716","Plantae","Magnoliopsida","LC",NA,"RE"
"Flacourtia inermis","t0053720","Plantae","Magnoliopsida","LC",NA,NA
"Floscopa scandens","t0053728","Plantae","Magnoliopsida","LC",NA,"NNT"
"Fraxinus griffithii","t0053733","Plantae","Magnoliopsida","LC",NA,"NLC"
"Fraxinus insularis","t0053734","Plantae","Magnoliopsida","LC",NA,"NLC"
"Fuirena umbellata","t0053737","Plantae","Magnoliopsida","LC",NA,"NLC"
"Galium trifidum","t0053757","Plantae","Magnoliopsida","LC",NA,"NNT"
"Garcinia dulcis","t0053758","Plantae","Magnoliopsida","LC",NA,NA
"Garcinia linii","t0053760","Plantae","Magnoliopsida","EN",NA,"NNT"
"Garcinia livingstonei","t0053761","Plantae","Magnoliopsida","LC",NA,NA
"Garcinia xanthochymus","t0053765","Plantae","Magnoliopsida","LC",NA,NA
"Gastrodia elata","t0053783","Plantae","Magnoliopsida","VU",NA,"NEN"
"Gleditsia rolfei","t0053821","Plantae","Magnoliopsida","EN",NA,"NVU"
"Gnaphalium polycaulon","t0053834","Plantae","Magnoliopsida","LC",NA,"NLC"
"Gonocaryum calleryanum","t0053842","Plantae","Magnoliopsida","LC",NA,"NEN"
"Grewia abutilifolia","t0053868","Plantae","Magnoliopsida","LC",NA,NA
"Habenaria dentata","t0053885","Plantae","Magnoliopsida","VU",NA,"NLC"
"Haematoxylum campechianum","t0053894","Plantae","Magnoliopsida","LC",NA,NA
"Helianthus annuus","t0053906","Plantae","Magnoliopsida","LC",NA,NA
"Helicia formosana","t0053909","Plantae","Magnoliopsida","LC",NA,"NLC"
"Heliotropium arboreum","t0053912","Plantae","Magnoliopsida","LC",NA,"NLC"
"Hemipilia cordifolia","t0053921","Plantae","Magnoliopsida","EN",NA,"NVU"
"Heritiera littoralis","t0053922","Plantae","Magnoliopsida","LC",NA,"NEN"
"Homonoia riparia","t0053948","Plantae","Magnoliopsida","LC",NA,"NNT"
