"new_simple_name","taxon_id","kingdom","class","new_iucn"
"Caryota urens","t0052878","Plantae","Magnoliopsida","LC"
"Casearia glomerata","t0052879","Plantae","Magnoliopsida","LC"
"Casimiroa edulis","t0052881","Plantae","Magnoliopsida","LC"
"Cassia grandis","t0052883","Plantae","Magnoliopsida","LC"
"Castanea crenata","t0052885","Plantae","Magnoliopsida","LC"
"Castanea mollissima","t0052886","Plantae","Magnoliopsida","LC"
"Castanopsis eyrei","t0052888","Plantae","Magnoliopsida","LC"
"Castanopsis fargesii","t0052889","Plantae","Magnoliopsida","LC"
"Castanopsis kawakamii","t0052891","Plantae","Magnoliopsida","LR/nt"
"Castanopsis kusanoi","t0052892","Plantae","Magnoliopsida","LC"
"Castanospermum australe","t0052893","Plantae","Magnoliopsida","LC"
"Casuarina equisetifolia","t0052894","Plantae","Magnoliopsida","LC"
"Cecropia peltata","t0052899","Plantae","Magnoliopsida","LC"
"Celosia argentea","t0052906","Plantae","Magnoliopsida","LC"
"Celosia cristata","t0052907","Plantae","Magnoliopsida","LC"
"Celtis biondii","t0052909","Plantae","Magnoliopsida","LC"
"Celtis philippensis","t0052913","Plantae","Magnoliopsida","LC"
"Celtis sinensis","t0052914","Plantae","Magnoliopsida","LC"
"Cenchrus ciliaris","t0052915","Plantae","Magnoliopsida","LC"
"Pennisetum setaceum","t0052917","Plantae","Magnoliopsida","LC"
"Pennisetum polystachion","t0052918","Plantae","Magnoliopsida","LC"
"Cephalotaxus wilsoniana","t0052928","Plantae","Pinopsida","EN"
"Ceratophyllum demersum","t0052933","Plantae","Magnoliopsida","LC"
"Cerbera manghas","t0052937","Plantae","Magnoliopsida","LC"
"Chamaecrista mimosoides","t0052941","Plantae","Magnoliopsida","LC"
"Chamaecyparis formosensis","t0052942","Plantae","Pinopsida","EN"
"Chamaecyparis obtusa formosana","t0052943","Plantae","Pinopsida","VU"
"Chamaedorea seifrizii","t0052944","Plantae","Magnoliopsida","LC"
"Chamaerops humilis","t0052945","Plantae","Magnoliopsida","LC"
"Cheirostylis octodactyla","t0052959","Plantae","Magnoliopsida","EN"
"Chionanthus ramiflorus","t0052974","Plantae","Magnoliopsida","LC"
"Chisocheton patens","t0052977","Plantae","Magnoliopsida","LC"
"Ceiba speciosa","t0052988","Plantae","Magnoliopsida","LC"
"Dypsis lutescens","t0052991","Plantae","Magnoliopsida","NT"
"Chrysobalanus icaco","t0052995","Plantae","Magnoliopsida","LC"
"Cinchona pubescens","t0053002","Plantae","Magnoliopsida","LC"
"Cinnamomum austrosinense","t0053003","Plantae","Magnoliopsida","LC"
"Cinnamomum aromaticum","t0053004","Plantae","Magnoliopsida","LC"
"Cinnamomum insulari-montanum","t0053005","Plantae","Magnoliopsida","LC"
"Cinnamomum kotoense","t0053006","Plantae","Magnoliopsida","CR"
"Cinnamomum macrostemon","t0053007","Plantae","Magnoliopsida","VU"
"Cinnamomum osmophloeum","t0053008","Plantae","Magnoliopsida","NT"
"Cinnamomum reticulatum","t0053009","Plantae","Magnoliopsida","NT"
"Cinnamomum subavenium","t0053010","Plantae","Magnoliopsida","LC"
"Cinnamomum verum","t0053011","Plantae","Magnoliopsida","VU"
"Citrus × aurantium","t0053032","Plantae","Magnoliopsida","CR"
"Clausena anisum-olens","t0053038","Plantae","Magnoliopsida","LC"
"Clausena excavata","t0053039","Plantae","Magnoliopsida","LC"
"Clausena lansium","t0053040","Plantae","Magnoliopsida","LC"
"Clerodendrum chinense","t0053063","Plantae","Magnoliopsida","LC"
"Clerodendrum cyrtophyllum","t0053064","Plantae","Magnoliopsida","LC"
"Clerodendrum trichotomum","t0053068","Plantae","Magnoliopsida","LC"
"Clibadium surinamense","t0053070","Plantae","Magnoliopsida","LC"
"Coccoloba uvifera","t0053077","Plantae","Magnoliopsida","LC"
"Cocculus laurifolius","t0053078","Plantae","Magnoliopsida","LC"
"Codiaeum variegatum","t0053080","Plantae","Magnoliopsida","LC"
"Coffea arabica","t0053082","Plantae","Magnoliopsida","EN"
"Coix lacryma-jobi","t0053083","Plantae","Magnoliopsida","LC"
"Coldenia procumbens","t0053084","Plantae","Magnoliopsida","LC"
